analyte,dissolved,hardness,toxicity,table,limit
nickel,total,50,acute,table33a,261.0133258
nickel ,total,50,acute,table20,789.0040568
silver,total,50,acute,table33a,1.148755944
silver ,total,50,acute,table20,1.232050149
zinc,total,50,acute,table33a,66.59683757
zinc ,total,50,acute,table20,65.04355305
cadmium,total,75,acute,table33a,1.59226641
cadmium ,total,75,acute,table20,2.835240007
chromium ,total,75,acute,table33a,1424.566399
chromium  ,total,75,acute,table20,1371.997197
copper,total,75,acute,table33a,10.67534952
copper ,total,75,acute,table20,13.51685332
lead,total,75,acute,table33a,56.60868216
nickel,total,75,acute,table33a,367.820462
nickel ,total,75,acute,table20,1111.865978
silver,total,75,acute,table33a,2.307303566
silver ,total,75,acute,table20,2.474601951
zinc,total,75,acute,table33a,93.89786778
zinc ,total,75,acute,table20,91.70782228
cadmium,total,100,acute,table33a,2.133184665
cadmium ,total,100,acute,table20,3.922118611
chromium ,total,100,acute,table33a,1803.048969
chromium  ,total,100,acute,table20,1736.513041
copper,total,100,acute,table33a,13.99907631
copper ,total,100,acute,table20,17.72527078
lead,total,100,acute,table33a,81.64508705
nickel,total,100,acute,table33a,469.1741293
nickel ,total,100,acute,table20,1418.242882
silver,total,100,acute,table33a,3.784420307
silver ,total,100,acute,table20,4.058821741
zinc,total,100,acute,table33a,119.8164153
zinc ,total,100,acute,table20,117.0218534
cadmium,dissolved,25,acute,table33a,0.522206507
cadmium ,dissolved,25,acute,table20,0.822744649
chromium ,dissolved,25,acute,table33a,183.0659069
chromium  ,dissolved,25,acute,table20,176.3104277
copper,dissolved,25,acute,table33a,3.640069619
copper ,dissolved,25,acute,table20,4.608962639
lead,dissolved,25,acute,table33a,13.88217279
nickel,dissolved,25,acute,table33a,144.9178377
nickel ,dissolved,25,acute,table20,438.064844
silver,dissolved,25,acute,table33a,0.296397888
silver ,dissolved,25,acute,table20,0.31788916
zinc,dissolved,25,acute,table33a,36.20176511
zinc ,dissolved,25,acute,table20,35.35740607
cadmium,dissolved,50,acute,table33a,1.025922486
cadmium ,dissolved,50,acute,table20,1.746111921
chromium ,dissolved,50,acute,table33a,322.9617115
chromium  ,dissolved,50,acute,table20,311.0438117
copper,dissolved,50,acute,table33a,6.994233901
copper ,dissolved,50,acute,table20,8.855919285
lead,dissolved,50,acute,table33a,30.13591353
nickel,dissolved,50,acute,table33a,260.4912991
nickel ,dissolved,50,acute,table20,787.4260487
silver,dissolved,50,acute,table33a,0.976442553
silver ,dissolved,50,acute,table20,1.047242626
zinc,dissolved,50,acute,table33a,65.13170714
zinc ,dissolved,50,acute,table20,63.61259489
cadmium,dissolved,75,acute,table33a,1.522265494
cadmium ,dissolved,75,acute,table20,2.710594158
chromium ,dissolved,75,acute,table33a,450.1629821
chromium  ,dissolved,75,acute,table20,433.5511141
copper,dissolved,75,acute,table33a,10.24833554
copper ,dissolved,75,acute,table20,12.97617918
lead,dissolved,75,acute,table33a,47.15051328
